ip_start,"country_code","country_name","region_code","region_name","city","zipcode",latitude,longitude,"metrocode"
0,"RD","Reserved","","","","",0,0,""
16777216,"AP","Asia/Pacific Region","","","","",35,105,""
16843008,"AU","Australia","","","","",-27,133,""
16909056,"AU","Australia","","","","",-27,133,""
20054016,"AP","Asia/Pacific Region","","","","",35,105,""
33488896,"AP","Asia/Pacific Region","","","","",35,105,""
50331648,"US","United States","09","Connecticut","Fairfield","06828",41.1854,-73.2645,"501"
67108864,"US","United States","","","","",38,-97,""
67277056,"US","United States","","","","",38,-97,""
67277568,"US","United States","","","","",38,-97,""
67279360,"US","United States","","","","",38,-97,""
67283456,"US","United States","","","","",38,-97,""
67283712,"US","United States","42","Pennsylvania","Pittsburgh","15222",40.4495,-79.988,"508"
67283968,"US","United States","","","","",38,-97,""
67284480,"US","United States","","","","",38,-97,""
67285760,"US","United States","44","Rhode Island","Providence","02903",41.8195,-71.4107,"521"
67286016,"US","United States","09","Connecticut","Middletown","06457",41.5497,-72.6531,"533"
67287040,"US","United States","33","New Hampshire","Londonderry","03053",42.8731,-71.3904,"506"
67287808,"US","United States","25","Massachusetts","Athol","01331",42.5647,-72.1788,"506"
67289344,"US","United States","06","California","Mountain View","94043",37.4192,-122.057,"807"
67289600,"US","United States","48","Texas","Austin","78701",30.2678,-97.7426,"635"
67297536,"US","United States","","","","",38,-97,""
67297792,"US","United States","","","","",38,-97,""
67305984,"US","United States","06","California","Mountain View","94043",37.4192,-122.057,"807"
67306240,"US","United States","","","","",38,-97,""
68227072,"US","United States","13","Georgia","Atlanta","30305",33.8379,-84.3846,"524"
68227328,"US","United States","","","","",38,-97,""
68227840,"US","United States","13","Georgia","Columbus","31904",32.5352,-84.9848,"522"
68228096,"US","United States","12","Florida","Tampa","33637",28.0499,-82.3625,"539"
68228352,"US","United States","","","","",38,-97,""
68240896,"US","United States","42","Pennsylvania","York","17402",40.002,-76.6836,"566"
68241408,"US","United States","44","Rhode Island","Kingston","02881",41.4773,-71.5208,"521"
68243456,"US","United States","42","Pennsylvania","Chambersburg","17201",39.932,-77.7069,"511"
68243712,"US","United States","42","Pennsylvania","Todd","16685",40.2719,-78.0836,"574"
68243968,"US","United States","","","","",38,-97,""
68248320,"US","United States","25","Massachusetts","Boston","02117",42.3425,-71.0677,"506"
68248576,"US","United States","","","","",38,-97,""
68250368,"US","United States","25","Massachusetts","South Easton","02375",42.0262,-71.0845,"506"
68250624,"US","United States","","","","",38,-97,""
68251648,"US","United States","25","Massachusetts","New Bedford","02740",41.6354,-70.9435,"521"
68251904,"US","United States","50","Vermont","Burlington","05401",44.4929,-73.2253,"523"
68252160,"US","United States","","","","",38,-97,""
68254464,"US","United States","50","Vermont","Burlington","05401",44.4929,-73.2253,"523"
68254720,"US","United States","","","","",38,-97,""
68255744,"US","United States","25","Massachusetts","Wilmington","01887",42.5653,-71.1745,"506"
68256000,"US","United States","","","","",38,-97,""
68256768,"US","United States","25","Massachusetts","Cambridge","02138",42.38,-71.1329,"506"
68257792,"US","United States","36","New York","New York","10154",40.758,-73.9727,"501"
68258048,"US","United States","","","","",38,-97,""
68258304,"US","United States","25","Massachusetts","Littleton","01460",42.5384,-71.4853,"506"
68258816,"US","United States","","","","",38,-97,""
68259328,"US","United States","25","Massachusetts","Marlborough","01752",42.3458,-71.5506,"506"
68259584,"CA","Canada","07","Nova Scotia","Bedford","b4a1e6",44.7289,-63.6644,""
68259840,"US","United States","","","","",38,-97,""
68261376,"US","United States","","","","",38,-97,""
68261632,"US","United States","","","","",38,-97,""
68263936,"US","United States","","","","",38,-97,""
68264448,"US","United States","25","Massachusetts","Littleton","01460",42.5384,-71.4853,"506"
68264960,"US","United States","","","","",38,-97,""
68265472,"US","United States","","","","",38,-97,""
68265984,"US","United States","25","Massachusetts","Natick","01760",42.2873,-71.3524,"506"
68266496,"US","United States","25","Massachusetts","Wilmington","01887",42.5653,-71.1745,"506"
68266752,"US","United States","25","Massachusetts","Waltham","02451",42.403,-71.259,"506"
68267008,"US","United States","25","Massachusetts","Cambridge","02138",42.38,-71.1329,"506"
68267264,"US","United States","25","Massachusetts","Newton","02458",42.3533,-71.1883,"506"
68267520,"US","United States","","","","",38,-97,""
68268288,"US","United States","25","Massachusetts","Cambridge","02141",42.37,-71.0812,"506"
68268544,"US","United States","25","Massachusetts","Danvers","01923",42.5767,-70.9549,"506"
68268800,"US","United States","25","Massachusetts","Worcester","01602",42.2706,-71.8479,"506"
68269056,"US","United States","","","","",38,-97,""
68269824,"US","United States","25","Massachusetts","Burlington","01803",42.5051,-71.2047,"506"
68270080,"US","United States","25","Massachusetts","Littleton","01460",42.5384,-71.4853,"506"
68272128,"US","United States","17","Illinois","Schaumburg","60173",42.0534,-88.054,"602"
68273664,"US","United States","","","","",38,-97,""
68274688,"US","United States","55","Wisconsin","Marshfield","54449",44.6271,-90.1981,"705"
68274944,"US","United States","17","Illinois","Skokie","60077",42.0347,-87.7614,"602"
68275200,"US","United States","42","Pennsylvania","Pittsburgh","15219",40.4426,-79.977,"508"
68275712,"US","United States","","","","",38,-97,""
68275968,"US","United States","17","Illinois","Chicago","60602",41.8826,-87.6292,"602"
68276224,"US","United States","","","","",38,-97,""
68276480,"US","United States","39","Ohio","Cincinnati","45202",39.1097,-84.5046,"515"
68276736,"US","United States","","","","",38,-97,""
68280576,"US","United States","17","Illinois","Downers Grove","60516",41.7581,-88.0211,"602"
68281088,"US","United States","17","Illinois","Chicago","60638",41.7853,-87.7734,"602"
68281344,"US","United States","17","Illinois","Elmhurst","60126",41.8917,-87.9359,"602"
68281600,"US","United States","","","","",38,-97,""
68282368,"US","United States","17","Illinois","Bloomington","61701",40.4734,-88.9915,"675"
68282624,"US","United States","","","","",38,-97,""
68283392,"US","United States","17","Illinois","Chicago","60610",41.8998,-87.6368,"602"
68284416,"US","United States","06","California","San Ramon","94583",37.7806,-121.99,"807"
68285440,"US","United States","","","","",38,-97,""
68285952,"US","United States","","","","",38,-97,""
68287232,"US","United States","17","Illinois","Downers Grove","60516",41.7581,-88.0211,"602"
68288000,"US","United States","17","Illinois","Elmhurst","60126",41.8917,-87.9359,"602"
68288512,"US","United States","39","Ohio","Akron","44333",41.1537,-81.6374,"510"
68288768,"US","United States","","","","",38,-97,""
68289792,"US","United States","39","Ohio","Troy","45373",40.0358,-84.1775,"542"
